imagefile,personid,confidence,width,height,left,top
10664052f53000bf95ec86.jpg,1,99.82355,0.146,0.32787,0.672,0.32459
10664052f53000bf95ec86.jpg,2,99.6874,0.182,0.58361,0.584,0.39672
10664052f53000bf95ec86.jpg,3,99.28146,0.194,0.63279,0.75,0.32459
10664052f53000bf95ec86.jpg,4,99.03234,0.106,0.45574,0.494,0.40328
10664052f53000bf95ec86.jpg,5,99.02233,0.178,0.31803,0.182,0.34754
10664052f53000bf95ec86.jpg,6,98.80421,0.06,0.24918,0.282,0.30492
10664052f53000bf95ec86.jpg,7,98.64341,0.1,0.40984,0.866,0.32787
10664052f53000bf95ec86.jpg,8,98.54062,0.076,0.28852,0.352,0.3377
10664052f53000bf95ec86.jpg,9,98.37738,0.134,0.35082,0.072,0.34754
10664052f53000bf95ec86.jpg,10,98.2267,0.06,0.39344,0.938,0.38361
10664052f53000bf95ec86.jpg,11,96.9961,0.052,0.03279,0.588,0.96393
10664052f53000bf95ec86.jpg,12,96.67506,0.06,0.31148,0.568,0.33115
10664052f53000bf95ec86.jpg,13,96.66687,0.04,0.1541,0.912,0.25902
10664052f53000bf95ec86.jpg,14,96.6384,0.06,0.20656,0.674,0.27541
10664052f53000bf95ec86.jpg,15,96.25967,0.032,0.18033,0.002,0.34426
10664052f53000bf95ec86.jpg,16,96.183,0.052,0.30164,0.044,0.34754
10664052f53000bf95ec86.jpg,17,95.2879,0.04,0.19672,0.148,0.31475
10664052f53000bf95ec86.jpg,18,94.47495,0.034,0.16721,0.016,0.37049
10664052f53000bf95ec86.jpg,19,92.56992,0.08,0.11475,0.622,0.29508
10664052f53000bf95ec86.jpg,20,91.51322,0.058,0.39016,0.512,0.32459
10664052f53000bf95ec86.jpg,21,90.53416,0.074,0.09508,0.514,0.34754
10664052f53000bf95ec86.jpg,22,89.25655,0.036,0.12787,0.508,0.3082
10664052f53000bf95ec86.jpg,23,76.51522,0.038,0.10492,0.866,0.30492
10664052f53000bf95ec86.jpg,24,76.4429,0.022,0.0623,0.79,0.25902
10664052f53000bf95ec86.jpg,25,75.41006,0.026,0.0459,0.606,0.2918
10664054a8b90009c5a4db8.jpg,1,99.61626,0.18192,0.34079,0.01373,0.65577
10664054a8b90009c5a4db8.jpg,2,99.60949,0.14188,0.31325,0.45538,0.36661
10664054a8b90009c5a4db8.jpg,3,99.00103,0.20824,0.17728,0.57666,0.821
10664054a8b90009c5a4db8.jpg,4,98.99242,0.10412,0.23236,0.49542,0.76592
10664054a8b90009c5a4db8.jpg,5,98.94224,0.17735,0.37866,0.18879,0.61962
10664054a8b90009c5a4db8.jpg,6,98.58349,0.26773,0.34596,0.65332,0.60585
10664054a8b90009c5a4db8.jpg,7,98.2704,0.1167,0.35456,0.80892,0.55422
10664054a8b90009c5a4db8.jpg,8,98.10359,0.10412,0.3167,0.06178,0.39931
10664054a8b90009c5a4db8.jpg,9,97.92628,0.07895,0.04647,0.3833,0.95181
10664054a8b90009c5a4db8.jpg,10,97.84724,0.1087,0.40964,0.89016,0.58692
10664054a8b90009c5a4db8.jpg,11,97.63525,0.09725,0.37177,0.66247,0.40448
10664054a8b90009c5a4db8.jpg,12,97.50324,0.09382,0.35112,0.31922,0.53701
10664054a8b90009c5a4db8.jpg,13,97.40192,0.09611,0.39931,0.36728,0.44578
10664054a8b90009c5a4db8.jpg,14,97.1338,0.07895,0.27711,0.57551,0.36489
10664054a8b90009c5a4db8.jpg,15,96.89399,0.1087,0.31325,0.15103,0.37349
10664054a8b90009c5a4db8.jpg,16,96.75575,0.05606,0.25645,0.82494,0.17728
10664054a8b90009c5a4db8.jpg,17,96.60107,0.10984,0.3494,0.60641,0.35112
10664054a8b90009c5a4db8.jpg,18,96.53517,0.07208,0.20482,0.90275,0.22031
10664054a8b90009c5a4db8.jpg,19,96.28584,0.05034,0.21859,0.0,0.13941
10664054a8b90009c5a4db8.jpg,20,96.19512,0.127,0.29432,0.30892,0.17384
10664054a8b90009c5a4db8.jpg,21,96.08054,0.06865,0.31153,0.41533,0.27367
10664054a8b90009c5a4db8.jpg,22,95.74648,0.08696,0.24957,0.54462,0.20826
10664054a8b90009c5a4db8.jpg,23,95.7102,0.04119,0.18589,0.14302,0.03614
10664054a8b90009c5a4db8.jpg,24,95.44883,0.07895,0.22375,0.25286,0.2031
10664054a8b90009c5a4db8.jpg,25,95.27385,0.10755,0.27539,0.24943,0.4062
10664054a8b90009c5a4db8.jpg,26,95.02463,0.06178,0.27539,0.93593,0.29432
10664054a8b90009c5a4db8.jpg,27,94.79294,0.14302,0.18589,0.85469,0.41308
10664054a8b90009c5a4db8.jpg,28,94.48248,0.05492,0.2031,0.29748,0.16523
10664054a8b90009c5a4db8.jpg,29,94.4549,0.07895,0.27539,0.0,0.49225
10664054a8b90009c5a4db8.jpg,30,94.43217,0.10412,0.2599,0.70481,0.27539
10664054a8b90009c5a4db8.jpg,31,94.40543,0.04462,0.24613,0.60755,0.1136
10664054a8b90009c5a4db8.jpg,32,94.2696,0.04005,0.26162,0.24828,0.13081
10664054a8b90009c5a4db8.jpg,33,93.88655,0.09039,0.22892,0.62243,0.24613
10664054a8b90009c5a4db8.jpg,34,93.87849,0.11442,0.25301,0.01144,0.22547
10664054a8b90009c5a4db8.jpg,35,93.73495,0.06865,0.13769,0.01373,0.07917
